test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.31208510047982446, 'HR@5': 0.43780383185587646}","{'NDCG@5': 0.2876405477986693, 'HR@5': 0.4089581304771178}","{'NDCG@5': 0.26258615944333774, 'HR@5': 0.37593377750858065}","{'NDCG@5': 0.24274265857903582, 'HR@5': 0.352392065344224}","{'NDCG@5': 0.21608074223752122, 'HR@5': 0.31774361646690985}","{'NDCG@5': 0.18721775875957433, 'HR@5': 0.27883483719105534}","{'NDCG@5': 0.15942041361510118, 'HR@5': 0.24762038073908174}","{'NDCG@5': 0.14221287003849642, 'HR@5': 0.22460149141410687}","{'NDCG@5': 0.12225091368762483, 'HR@5': 0.1956773709688416}","{'NDCG@5': 0.09322019616743836, 'HR@5': 0.15481057508857998}"
"{'NDCG@5': 0.3152921015031633, 'HR@5': 0.44209322276236773}","{'NDCG@5': 0.2911854439454292, 'HR@5': 0.41212268743914315}","{'NDCG@5': 0.26714224347876864, 'HR@5': 0.3809812235009085}","{'NDCG@5': 0.24641999932479144, 'HR@5': 0.3552258709784964}","{'NDCG@5': 0.21745865847871193, 'HR@5': 0.3187858259510162}","{'NDCG@5': 0.18972088587443103, 'HR@5': 0.28285602196939974}","{'NDCG@5': 0.160864311124508, 'HR@5': 0.249020156774916}","{'NDCG@5': 0.1438732257737581, 'HR@5': 0.22658548265718}","{'NDCG@5': 0.12418083773016111, 'HR@5': 0.19840458171405195}","{'NDCG@5': 0.09416439362142039, 'HR@5': 0.15494685200327066}"
"{'NDCG@5': 0.3189594540328396, 'HR@5': 0.4443808979124964}","{'NDCG@5': 0.29212465565128004, 'HR@5': 0.4111489776046738}","{'NDCG@5': 0.2700409837812055, 'HR@5': 0.3830002018978397}","{'NDCG@5': 0.24926862176259718, 'HR@5': 0.35905984330721785}","{'NDCG@5': 0.21862320911603983, 'HR@5': 0.3206096925482022}","{'NDCG@5': 0.19212641671674288, 'HR@5': 0.28520988622989407}","{'NDCG@5': 0.16157333719320263, 'HR@5': 0.25}","{'NDCG@5': 0.14576671091465343, 'HR@5': 0.2304850516521858}","{'NDCG@5': 0.12535298001635004, 'HR@5': 0.20119997272789256}","{'NDCG@5': 0.09491274356093786, 'HR@5': 0.15712728263832107}"
"{'NDCG@5': 0.3242696811605873, 'HR@5': 0.4492422076065199}","{'NDCG@5': 0.29863399338564384, 'HR@5': 0.4172346640701071}","{'NDCG@5': 0.27417589195474174, 'HR@5': 0.3866343630123158}","{'NDCG@5': 0.2528815150719361, 'HR@5': 0.3633938989831639}","{'NDCG@5': 0.2236903191845415, 'HR@5': 0.32686294945284}","{'NDCG@5': 0.19531657344021142, 'HR@5': 0.28785798352295017}","{'NDCG@5': 0.16763306559303043, 'HR@5': 0.25937849944008956}","{'NDCG@5': 0.149995136737602, 'HR@5': 0.2347266881028939}","{'NDCG@5': 0.12915584537832714, 'HR@5': 0.20317720051817004}","{'NDCG@5': 0.0984289277616881, 'HR@5': 0.16155628236576725}"
"{'NDCG@5': 0.32738441367756177, 'HR@5': 0.45696311123820416}","{'NDCG@5': 0.3015715137510355, 'HR@5': 0.41845180136319376}","{'NDCG@5': 0.27619046228295413, 'HR@5': 0.3896628306077125}","{'NDCG@5': 0.2557962756549211, 'HR@5': 0.36556092682113683}","{'NDCG@5': 0.22433384941374054, 'HR@5': 0.3294684731631058}","{'NDCG@5': 0.19397693160034546, 'HR@5': 0.287661828167909}","{'NDCG@5': 0.1664060113406618, 'HR@5': 0.25853863381858905}","{'NDCG@5': 0.1483449191172021, 'HR@5': 0.23438462064719162}","{'NDCG@5': 0.1276136647435683, 'HR@5': 0.2027681189063885}","{'NDCG@5': 0.09687926232032322, 'HR@5': 0.1587626056146089}"
"{'NDCG@5': 0.3281665101196164, 'HR@5': 0.45896482699456675}","{'NDCG@5': 0.3020010338302307, 'HR@5': 0.4240506329113924}","{'NDCG@5': 0.2787520989759891, 'HR@5': 0.3924894003634161}","{'NDCG@5': 0.25616923322240237, 'HR@5': 0.369728288048008}","{'NDCG@5': 0.2260642664645985, 'HR@5': 0.33233454924439815}","{'NDCG@5': 0.19714565873772713, 'HR@5': 0.29413495488426833}","{'NDCG@5': 0.16789210051479392, 'HR@5': 0.2632978723404255}","{'NDCG@5': 0.14995233098716476, 'HR@5': 0.23623178490798385}","{'NDCG@5': 0.12974399317784743, 'HR@5': 0.20631349287516193}","{'NDCG@5': 0.09768967511926309, 'HR@5': 0.16162442082311257}"
"{'NDCG@5': 0.3335134563176307, 'HR@5': 0.4672576494137832}","{'NDCG@5': 0.3069987533877429, 'HR@5': 0.42916260954235635}","{'NDCG@5': 0.281041388244643, 'HR@5': 0.39531597011911973}","{'NDCG@5': 0.2581316977924903, 'HR@5': 0.37222870478413067}","{'NDCG@5': 0.2282504189782988, 'HR@5': 0.33572173006774364}","{'NDCG@5': 0.19857064245719916, 'HR@5': 0.2945272655943507}","{'NDCG@5': 0.16929649154071383, 'HR@5': 0.2647676371780515}","{'NDCG@5': 0.15232135398120747, 'HR@5': 0.24061024834097283}","{'NDCG@5': 0.13119052122922756, 'HR@5': 0.20876798254585124}","{'NDCG@5': 0.09927126417273642, 'HR@5': 0.16400926683019895}"
"{'NDCG@5': 0.33669309207026005, 'HR@5': 0.4712610809265084}","{'NDCG@5': 0.31037443244558777, 'HR@5': 0.432570593962999}","{'NDCG@5': 0.2822452348378536, 'HR@5': 0.402786190187765}","{'NDCG@5': 0.2605416816440266, 'HR@5': 0.37672945490915155}","{'NDCG@5': 0.22896111765800448, 'HR@5': 0.335461177696717}","{'NDCG@5': 0.20003494070835068, 'HR@5': 0.29727344056492744}","{'NDCG@5': 0.1709108255663353, 'HR@5': 0.26651735722284436}","{'NDCG@5': 0.15408766375153496, 'HR@5': 0.2434152014777314}","{'NDCG@5': 0.1320619351949766, 'HR@5': 0.2104724892616077}","{'NDCG@5': 0.10056474666090899, 'HR@5': 0.16605342055055874}"
"{'NDCG@5': 0.33811638653058795, 'HR@5': 0.4715470403202745}","{'NDCG@5': 0.31179940000071776, 'HR@5': 0.43378773125608566}","{'NDCG@5': 0.2858648368294642, 'HR@5': 0.4078336361800929}","{'NDCG@5': 0.26273166699014155, 'HR@5': 0.37722953825637606}","{'NDCG@5': 0.22993188179257118, 'HR@5': 0.33663366336633666}","{'NDCG@5': 0.20171587707191493, 'HR@5': 0.3005100039231071}","{'NDCG@5': 0.17213483995417253, 'HR@5': 0.26826707726763716}","{'NDCG@5': 0.154912857811544, 'HR@5': 0.2443045768625573}","{'NDCG@5': 0.13321872780575184, 'HR@5': 0.21306333946955752}","{'NDCG@5': 0.1015664974129937, 'HR@5': 0.16796129735622786}"
"{'NDCG@5': 0.3398263935618459, 'HR@5': 0.4755504718329997}","{'NDCG@5': 0.31637624050810176, 'HR@5': 0.4371957156767283}","{'NDCG@5': 0.2864590406734206, 'HR@5': 0.4062184534625479}","{'NDCG@5': 0.26408593303813505, 'HR@5': 0.3765627604600767}","{'NDCG@5': 0.23234626498406358, 'HR@5': 0.34002084418968215}","{'NDCG@5': 0.2028514525191249, 'HR@5': 0.3005100039231071}","{'NDCG@5': 0.1742896896948525, 'HR@5': 0.2709266517357223}","{'NDCG@5': 0.15676273938649152, 'HR@5': 0.24615174112334953}","{'NDCG@5': 0.13367713390117164, 'HR@5': 0.21217699597736414}","{'NDCG@5': 0.10209332120122769, 'HR@5': 0.166530389751976}"
"{'NDCG@5': 0.34248779526636414, 'HR@5': 0.47869602516442666}","{'NDCG@5': 0.3163955656108707, 'HR@5': 0.44109055501460565}","{'NDCG@5': 0.2843691120663506, 'HR@5': 0.4050070664243893}","{'NDCG@5': 0.26444875780143984, 'HR@5': 0.38006334389064844}","{'NDCG@5': 0.23376722484769344, 'HR@5': 0.3424960917144346}","{'NDCG@5': 0.20318052933821257, 'HR@5': 0.3022754021184778}","{'NDCG@5': 0.17564381017412814, 'HR@5': 0.2737262038073908}","{'NDCG@5': 0.15631823733985437, 'HR@5': 0.2467674625436136}","{'NDCG@5': 0.13353654080767108, 'HR@5': 0.21313151973818778}","{'NDCG@5': 0.1023024951444658, 'HR@5': 0.16796129735622786}"
"{'NDCG@5': 0.34521989954205295, 'HR@5': 0.4795539033457249}","{'NDCG@5': 0.31808775968291136, 'HR@5': 0.44498539435248297}","{'NDCG@5': 0.2889984013368485, 'HR@5': 0.40864122753886534}","{'NDCG@5': 0.26905358325070977, 'HR@5': 0.3860643440573429}","{'NDCG@5': 0.2348955771885663, 'HR@5': 0.3456227201667535}","{'NDCG@5': 0.20685487002513092, 'HR@5': 0.3078658297371518}","{'NDCG@5': 0.17799095481925561, 'HR@5': 0.2767357222844345}","{'NDCG@5': 0.15900242108566806, 'HR@5': 0.24943558869809127}","{'NDCG@5': 0.13586698436453812, 'HR@5': 0.21694961478148225}","{'NDCG@5': 0.10467659411066509, 'HR@5': 0.17123194330880348}"
