test0,test1,test2,test3,test4
"{'NDCG@5': 0.28609425313156156, 'HR@5': 0.3909376225970969}","{'NDCG@5': 0.2569369924064136, 'HR@5': 0.34987402015677493}","{'NDCG@5': 0.22829554534679247, 'HR@5': 0.32120134090442637}","{'NDCG@5': 0.1937084270159635, 'HR@5': 0.2807663462194041}","{'NDCG@5': 0.15583652236764772, 'HR@5': 0.22942218588171165}"
"{'NDCG@5': 0.2883409621123705, 'HR@5': 0.3933895645351118}","{'NDCG@5': 0.2576784390603676, 'HR@5': 0.3514837625979843}","{'NDCG@5': 0.22939725950900614, 'HR@5': 0.3220223027981118}","{'NDCG@5': 0.19536166072495537, 'HR@5': 0.28151632917433694}","{'NDCG@5': 0.15602867694962852, 'HR@5': 0.22969473971109294}"
"{'NDCG@5': 0.2895789823927826, 'HR@5': 0.39554727344056495}","{'NDCG@5': 0.2578139479654887, 'HR@5': 0.3503639417693169}","{'NDCG@5': 0.23094715517725142, 'HR@5': 0.3230485051652186}","{'NDCG@5': 0.1961294783230709, 'HR@5': 0.28212995159200926}","{'NDCG@5': 0.15554209005002043, 'HR@5': 0.22785500136276915}"
"{'NDCG@5': 0.2898987439276566, 'HR@5': 0.39554727344056495}","{'NDCG@5': 0.25837456486467486, 'HR@5': 0.35092385218365063}","{'NDCG@5': 0.23128259795286688, 'HR@5': 0.3246904289525894}","{'NDCG@5': 0.19613902593347668, 'HR@5': 0.28247085293516055}","{'NDCG@5': 0.1560485860889938, 'HR@5': 0.22914963205233033}"
"{'NDCG@5': 0.2905793057971626, 'HR@5': 0.39535111808552376}","{'NDCG@5': 0.2588197086562185, 'HR@5': 0.353023516237402}","{'NDCG@5': 0.2322792130862969, 'HR@5': 0.32557980433741535}","{'NDCG@5': 0.19547105092835196, 'HR@5': 0.2828799345469421}","{'NDCG@5': 0.15597781312463735, 'HR@5': 0.22860452439356774}"
"{'NDCG@5': 0.29202691251719765, 'HR@5': 0.39554727344056495}","{'NDCG@5': 0.2599370587581844, 'HR@5': 0.3537933930571109}","{'NDCG@5': 0.23247713269531065, 'HR@5': 0.32667442019566256}","{'NDCG@5': 0.19606100401804719, 'HR@5': 0.28376627803913546}","{'NDCG@5': 0.15692434414785741, 'HR@5': 0.2309212319433088}"
"{'NDCG@5': 0.29157129679473137, 'HR@5': 0.39515496273048256}","{'NDCG@5': 0.2606391322719956, 'HR@5': 0.3546332586786114}","{'NDCG@5': 0.2335031775187376, 'HR@5': 0.3268796606690839}","{'NDCG@5': 0.19673133367804263, 'HR@5': 0.28397081884502623}","{'NDCG@5': 0.15714540114234946, 'HR@5': 0.2313982011447261}"
"{'NDCG@5': 0.29308380009711144, 'HR@5': 0.3970184386033739}","{'NDCG@5': 0.2606722982566712, 'HR@5': 0.35421332586786114}","{'NDCG@5': 0.23381043833906767, 'HR@5': 0.328247930491893}","{'NDCG@5': 0.19606536089831558, 'HR@5': 0.2838344583077657}","{'NDCG@5': 0.15668862064234088, 'HR@5': 0.2301717089125102}"
"{'NDCG@5': 0.2935047575900841, 'HR@5': 0.3980972930561004}","{'NDCG@5': 0.2614828703755412, 'HR@5': 0.35582306830907057}","{'NDCG@5': 0.23436077604182198, 'HR@5': 0.32831634398303344}","{'NDCG@5': 0.19675527433361192, 'HR@5': 0.2845162609940683}","{'NDCG@5': 0.15749645496588188, 'HR@5': 0.23085309348596347}"
"{'NDCG@5': 0.2939932393528485, 'HR@5': 0.39780306002353866}","{'NDCG@5': 0.26176452907947845, 'HR@5': 0.35638297872340424}","{'NDCG@5': 0.23548290486526913, 'HR@5': 0.3300950947526852}","{'NDCG@5': 0.19743284999869665, 'HR@5': 0.28444808072543804}","{'NDCG@5': 0.15769138986240208, 'HR@5': 0.23098937040065412}"
