test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.36379277588011005, 'HR@5': 0.46782956820131544}","{'NDCG@5': 0.3338599388958292, 'HR@5': 0.4437682570593963}","{'NDCG@5': 0.3076603795850761, 'HR@5': 0.41449626488996566}","{'NDCG@5': 0.2850479280386756, 'HR@5': 0.3847307884647441}","{'NDCG@5': 0.2504941712265664, 'HR@5': 0.34418968212610734}","{'NDCG@5': 0.22172440373073077, 'HR@5': 0.30933699489996075}","{'NDCG@5': 0.1880950999515308, 'HR@5': 0.2714165733482643}","{'NDCG@5': 0.17495697444020278, 'HR@5': 0.2536088116576589}","{'NDCG@5': 0.15610491505091612, 'HR@5': 0.22969932501534057}","{'NDCG@5': 0.12301452289464701, 'HR@5': 0.18390569637503407}"
"{'NDCG@5': 0.3701111830305474, 'HR@5': 0.47497855304546754}","{'NDCG@5': 0.34493409275529835, 'HR@5': 0.4471762414800389}","{'NDCG@5': 0.31129924117326835, 'HR@5': 0.4163133454472037}","{'NDCG@5': 0.2920374619969827, 'HR@5': 0.38873145524254044}","{'NDCG@5': 0.25666355521209544, 'HR@5': 0.349009900990099}","{'NDCG@5': 0.22664855549849855, 'HR@5': 0.3138485680659082}","{'NDCG@5': 0.19207437025860438, 'HR@5': 0.2744960806270997}","{'NDCG@5': 0.1785752130548112, 'HR@5': 0.2572347266881029}","{'NDCG@5': 0.1583709582479649, 'HR@5': 0.23310833844685347}","{'NDCG@5': 0.11979844256132545, 'HR@5': 0.17859089670209866}"
"{'NDCG@5': 0.36930627518132164, 'HR@5': 0.46697169002001715}","{'NDCG@5': 0.34173686091405864, 'HR@5': 0.4452288218111003}","{'NDCG@5': 0.3110912417656786, 'HR@5': 0.4068241469816273}","{'NDCG@5': 0.2885881443871388, 'HR@5': 0.3835639273212202}","{'NDCG@5': 0.25250189587257776, 'HR@5': 0.3402813965607087}","{'NDCG@5': 0.22208150118894085, 'HR@5': 0.3107100823852491}","{'NDCG@5': 0.18857370037409796, 'HR@5': 0.2699468085106383}","{'NDCG@5': 0.17779072538571739, 'HR@5': 0.2542929465690634}","{'NDCG@5': 0.15526435204567687, 'HR@5': 0.22731301561328152}","{'NDCG@5': 0.12250862211046092, 'HR@5': 0.17988552739165986}"
"{'NDCG@5': 0.3680440196120432, 'HR@5': 0.4721189591078067}","{'NDCG@5': 0.34281731798666015, 'HR@5': 0.443524829600779}","{'NDCG@5': 0.30944560786483244, 'HR@5': 0.4078336361800929}","{'NDCG@5': 0.2893445499285603, 'HR@5': 0.38589764960826806}","{'NDCG@5': 0.25034293114601264, 'HR@5': 0.33963001563314227}","{'NDCG@5': 0.22234946954806734, 'HR@5': 0.30963122793252257}","{'NDCG@5': 0.18575459797191032, 'HR@5': 0.2668673012318029}","{'NDCG@5': 0.17180148276692458, 'HR@5': 0.25018813710063625}","{'NDCG@5': 0.14959128548175965, 'HR@5': 0.2213131519738188}","{'NDCG@5': 0.11720950363371449, 'HR@5': 0.17136822022349413}"
"{'NDCG@5': 0.3619064967123901, 'HR@5': 0.4675436088075493}","{'NDCG@5': 0.33781486133524097, 'HR@5': 0.43476144109055503}","{'NDCG@5': 0.3077736626549987, 'HR@5': 0.4064203513022411}","{'NDCG@5': 0.281611606952917, 'HR@5': 0.37722953825637606}","{'NDCG@5': 0.24778772752874903, 'HR@5': 0.33663366336633666}","{'NDCG@5': 0.21667487898318535, 'HR@5': 0.3008042369556689}","{'NDCG@5': 0.17898361006022942, 'HR@5': 0.25846864501679734}","{'NDCG@5': 0.16799046669540474, 'HR@5': 0.24238899911062461}","{'NDCG@5': 0.14597443390025405, 'HR@5': 0.21510874752846526}","{'NDCG@5': 0.11419169178925938, 'HR@5': 0.17143635868083948}"
"{'NDCG@5': 0.36753898834740345, 'HR@5': 0.4675436088075493}","{'NDCG@5': 0.34413316282044665, 'HR@5': 0.44109055501460565}","{'NDCG@5': 0.31825668125568785, 'HR@5': 0.41550575408843127}","{'NDCG@5': 0.28875716128651274, 'HR@5': 0.3817302883813969}","{'NDCG@5': 0.25748224283952403, 'HR@5': 0.34418968212610734}","{'NDCG@5': 0.22281552177515723, 'HR@5': 0.309042761867399}","{'NDCG@5': 0.18641036417698872, 'HR@5': 0.26756718924972006}","{'NDCG@5': 0.17297063282978267, 'HR@5': 0.24786207840186084}","{'NDCG@5': 0.15316906470395875, 'HR@5': 0.22219949546601214}","{'NDCG@5': 0.11804815039551876, 'HR@5': 0.17559280457890433}"
"{'NDCG@5': 0.36930263545695385, 'HR@5': 0.4721189591078067}","{'NDCG@5': 0.3483316862792989, 'HR@5': 0.44863680623174296}","{'NDCG@5': 0.31729212443201066, 'HR@5': 0.4167171411265899}","{'NDCG@5': 0.2951915085300254, 'HR@5': 0.39056509418236374}","{'NDCG@5': 0.2576930059542654, 'HR@5': 0.3445805106826472}","{'NDCG@5': 0.22536005671572393, 'HR@5': 0.30982738328756376}","{'NDCG@5': 0.18998517768476367, 'HR@5': 0.26931690929451285}","{'NDCG@5': 0.17642195090255122, 'HR@5': 0.2518984743791476}","{'NDCG@5': 0.15692828413689006, 'HR@5': 0.22963114474671031}","{'NDCG@5': 0.11974403590849904, 'HR@5': 0.17770509675660942}"
"{'NDCG@5': 0.37095048553893767, 'HR@5': 0.4701172433514441}","{'NDCG@5': 0.3462779089529861, 'HR@5': 0.44328140214216166}","{'NDCG@5': 0.3133560246211479, 'HR@5': 0.4068241469816273}","{'NDCG@5': 0.2916078361497799, 'HR@5': 0.3867311218536423}","{'NDCG@5': 0.26071053979274617, 'HR@5': 0.3482282438770193}","{'NDCG@5': 0.22307968879154128, 'HR@5': 0.30874852883483717}","{'NDCG@5': 0.18789622371089038, 'HR@5': 0.26763717805151177}","{'NDCG@5': 0.1745275236909461, 'HR@5': 0.24895669426010808}","{'NDCG@5': 0.15367370275702685, 'HR@5': 0.2240403627190291}","{'NDCG@5': 0.11673101155270073, 'HR@5': 0.17164077405287545}"
"{'NDCG@5': 0.3767009877166326, 'HR@5': 0.4741206748641693}","{'NDCG@5': 0.35139044401282965, 'HR@5': 0.44839337877312563}","{'NDCG@5': 0.3182628983796933, 'HR@5': 0.41166969513426205}","{'NDCG@5': 0.3008597736697988, 'HR@5': 0.390231705284214}","{'NDCG@5': 0.26447426262527485, 'HR@5': 0.349921834288692}","{'NDCG@5': 0.2282576594765131, 'HR@5': 0.31218124754805804}","{'NDCG@5': 0.19161330481779904, 'HR@5': 0.27064669652855544}","{'NDCG@5': 0.18158608417480693, 'HR@5': 0.2594923718957378}","{'NDCG@5': 0.16127946167231022, 'HR@5': 0.2317447330742483}","{'NDCG@5': 0.12215819586457238, 'HR@5': 0.18083946579449442}"
"{'NDCG@5': 0.37890648980464214, 'HR@5': 0.47497855304546754}","{'NDCG@5': 0.3462357383392453, 'HR@5': 0.4452288218111003}","{'NDCG@5': 0.3174448067283152, 'HR@5': 0.41449626488996566}","{'NDCG@5': 0.2971200246055543, 'HR@5': 0.38989831638606437}","{'NDCG@5': 0.2620564503905449, 'HR@5': 0.3512245961438249}","{'NDCG@5': 0.22611550760710555, 'HR@5': 0.31061200470772854}","{'NDCG@5': 0.18916081945653976, 'HR@5': 0.26847704367301234}","{'NDCG@5': 0.1802228735610734, 'HR@5': 0.2568926592324006}","{'NDCG@5': 0.15828099372345847, 'HR@5': 0.22901752232903796}","{'NDCG@5': 0.12182948041673156, 'HR@5': 0.18152085036794766}"
