test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.36820161046081584, 'HR@5': 0.4724049185015728}","{'NDCG@5': 0.33550603882531427, 'HR@5': 0.44036027263875366}","{'NDCG@5': 0.3154657162903081, 'HR@5': 0.4149000605693519}","{'NDCG@5': 0.29383497086021726, 'HR@5': 0.39173195532588767}","{'NDCG@5': 0.2618674950937758, 'HR@5': 0.3568264721208963}","{'NDCG@5': 0.23176111229311566, 'HR@5': 0.32091016084739116}","{'NDCG@5': 0.20464422196409787, 'HR@5': 0.2923432250839866}","{'NDCG@5': 0.1849735410938785, 'HR@5': 0.26592324006294044}","{'NDCG@5': 0.1571317720700946, 'HR@5': 0.23344923979000476}","{'NDCG@5': 0.12155017249686449, 'HR@5': 0.18165712728263833}"
"{'NDCG@5': 0.37131641848640873, 'HR@5': 0.47297683728910495}","{'NDCG@5': 0.33649405998968807, 'HR@5': 0.44182083739045763}","{'NDCG@5': 0.31792714473624795, 'HR@5': 0.4138905713708863}","{'NDCG@5': 0.2944212584341961, 'HR@5': 0.39106517752958825}","{'NDCG@5': 0.2651833549929728, 'HR@5': 0.3598228243877019}","{'NDCG@5': 0.23549528017363008, 'HR@5': 0.3234601804629266}","{'NDCG@5': 0.20646283169548907, 'HR@5': 0.29276315789473684}","{'NDCG@5': 0.1854696444499576, 'HR@5': 0.26578641308065953}","{'NDCG@5': 0.1594613956186769, 'HR@5': 0.23426740301356788}","{'NDCG@5': 0.11999800137032174, 'HR@5': 0.18111201962387571}"
"{'NDCG@5': 0.3803651148648323, 'HR@5': 0.48269945667715186}","{'NDCG@5': 0.3477382968536776, 'HR@5': 0.4496105160662123}","{'NDCG@5': 0.3274041285410787, 'HR@5': 0.4282253179890975}","{'NDCG@5': 0.30028984455688873, 'HR@5': 0.3970661776962827}","{'NDCG@5': 0.27249296239373666, 'HR@5': 0.3665971860343929}","{'NDCG@5': 0.24307575741375073, 'HR@5': 0.33316987053746566}","{'NDCG@5': 0.2137035316267538, 'HR@5': 0.30165173572228443}","{'NDCG@5': 0.19563019887944477, 'HR@5': 0.2774167065745365}","{'NDCG@5': 0.16596162213213372, 'HR@5': 0.24319901820413173}","{'NDCG@5': 0.1289731759986646, 'HR@5': 0.19174161896974654}"
"{'NDCG@5': 0.38215102953425334, 'HR@5': 0.48384329425221617}","{'NDCG@5': 0.3501343672544335, 'HR@5': 0.44839337877312563}","{'NDCG@5': 0.32658926845336556, 'HR@5': 0.4225721784776903}","{'NDCG@5': 0.30099907227420375, 'HR@5': 0.39506584430738456}","{'NDCG@5': 0.26906051551015403, 'HR@5': 0.3613861386138614}","{'NDCG@5': 0.2406916587978849, 'HR@5': 0.3302275402118478}","{'NDCG@5': 0.21235005572015206, 'HR@5': 0.2979423292273236}","{'NDCG@5': 0.19026890044257447, 'HR@5': 0.2739276185263734}","{'NDCG@5': 0.1633428236780306, 'HR@5': 0.23754005590782026}","{'NDCG@5': 0.1275534454615362, 'HR@5': 0.18935677296266012}"
"{'NDCG@5': 0.38140740760794933, 'HR@5': 0.4778381469831284}","{'NDCG@5': 0.3475731316850426, 'HR@5': 0.4481499513145083}","{'NDCG@5': 0.3245938640813963, 'HR@5': 0.4197456087219867}","{'NDCG@5': 0.29724055314111564, 'HR@5': 0.39139856642773796}","{'NDCG@5': 0.267517401599121, 'HR@5': 0.3581292339760292}","{'NDCG@5': 0.23865402764053173, 'HR@5': 0.3268928991761475}","{'NDCG@5': 0.2080077061484239, 'HR@5': 0.2935330347144457}","{'NDCG@5': 0.1885699061600241, 'HR@5': 0.26920708763768214}","{'NDCG@5': 0.16139086826581575, 'HR@5': 0.23447194381945866}","{'NDCG@5': 0.12456023730922021, 'HR@5': 0.18656309621150177}"
"{'NDCG@5': 0.37847719635944427, 'HR@5': 0.476408350014298}","{'NDCG@5': 0.3493881057711669, 'HR@5': 0.4491236611489776}","{'NDCG@5': 0.32454313159057635, 'HR@5': 0.41913991520290733}","{'NDCG@5': 0.2967687906442433, 'HR@5': 0.3875645940990165}","{'NDCG@5': 0.26824978151693213, 'HR@5': 0.3602136529442418}","{'NDCG@5': 0.23513919377604264, 'HR@5': 0.3219890153001177}","{'NDCG@5': 0.20683377122925917, 'HR@5': 0.29080347144456886}","{'NDCG@5': 0.18564731702487103, 'HR@5': 0.2669494424300472}","{'NDCG@5': 0.157813924230206, 'HR@5': 0.2298356855526011}","{'NDCG@5': 0.11999169990894173, 'HR@5': 0.17968111201962386}"
"{'NDCG@5': 0.3817979676204015, 'HR@5': 0.4744066342579354}","{'NDCG@5': 0.34967635553897464, 'HR@5': 0.4471762414800389}","{'NDCG@5': 0.32870165600673973, 'HR@5': 0.42196648495861094}","{'NDCG@5': 0.301480316742158, 'HR@5': 0.3922320386731122}","{'NDCG@5': 0.2746630743266105, 'HR@5': 0.3646430432516936}","{'NDCG@5': 0.24253241131704423, 'HR@5': 0.32885445272655944}","{'NDCG@5': 0.20953137617173898, 'HR@5': 0.2910834266517357}","{'NDCG@5': 0.19188213725127964, 'HR@5': 0.27037011698706986}","{'NDCG@5': 0.16495991494816462, 'HR@5': 0.23597190972932433}","{'NDCG@5': 0.12626107492370708, 'HR@5': 0.18751703461433633}"
"{'NDCG@5': 0.3800448085967584, 'HR@5': 0.476408350014298}","{'NDCG@5': 0.34957005253622014, 'HR@5': 0.4459591041869523}","{'NDCG@5': 0.33314146627373714, 'HR@5': 0.4268120331112457}","{'NDCG@5': 0.30398281128085003, 'HR@5': 0.3938989831638606}","{'NDCG@5': 0.27212373467250384, 'HR@5': 0.3609953100573215}","{'NDCG@5': 0.24129555610102385, 'HR@5': 0.329442918791683}","{'NDCG@5': 0.20839153868014493, 'HR@5': 0.2912933930571109}","{'NDCG@5': 0.18968591304530563, 'HR@5': 0.2676335773414517}","{'NDCG@5': 0.16317312771974263, 'HR@5': 0.23508556623713098}","{'NDCG@5': 0.12649740874424656, 'HR@5': 0.18629054238212048}"
"{'NDCG@5': 0.3848480048454149, 'HR@5': 0.4784100657706606}","{'NDCG@5': 0.3503758770090385, 'HR@5': 0.44644595910418694}","{'NDCG@5': 0.3278323900762155, 'HR@5': 0.42337976983646275}","{'NDCG@5': 0.3048025881175604, 'HR@5': 0.3925654275712619}","{'NDCG@5': 0.26790428651346443, 'HR@5': 0.3560448150078166}","{'NDCG@5': 0.23998030372927776, 'HR@5': 0.32532365633581795}","{'NDCG@5': 0.20622110443318004, 'HR@5': 0.289053751399776}","{'NDCG@5': 0.18509786078919016, 'HR@5': 0.26284463296162003}","{'NDCG@5': 0.160173825643926, 'HR@5': 0.23099475011931547}","{'NDCG@5': 0.12212054210710123, 'HR@5': 0.18063505042245845}"
"{'NDCG@5': 0.389392195110823, 'HR@5': 0.4875607663711753}","{'NDCG@5': 0.3493866252896915, 'HR@5': 0.4444985394352483}","{'NDCG@5': 0.3320478534219368, 'HR@5': 0.42782152230971127}","{'NDCG@5': 0.30630058451936165, 'HR@5': 0.3958993165527588}","{'NDCG@5': 0.27225571109846713, 'HR@5': 0.36086503387180824}","{'NDCG@5': 0.24196785384610062, 'HR@5': 0.3275794429187917}","{'NDCG@5': 0.21139690295942398, 'HR@5': 0.2951427771556551}","{'NDCG@5': 0.18843981175242389, 'HR@5': 0.2664021345009236}","{'NDCG@5': 0.16563136385736096, 'HR@5': 0.2360400899979546}","{'NDCG@5': 0.1282144336086166, 'HR@5': 0.18758517307168165}"
"{'NDCG@5': 0.38455769895261815, 'HR@5': 0.48412925364598225}","{'NDCG@5': 0.3507616639253075, 'HR@5': 0.4481499513145083}","{'NDCG@5': 0.3321700516367605, 'HR@5': 0.42358166767615585}","{'NDCG@5': 0.3067926572008551, 'HR@5': 0.3958993165527588}","{'NDCG@5': 0.27000355396429326, 'HR@5': 0.35526315789473684}","{'NDCG@5': 0.2416761930840552, 'HR@5': 0.32561788936837976}","{'NDCG@5': 0.20975344859630465, 'HR@5': 0.29276315789473684}","{'NDCG@5': 0.18981227490845531, 'HR@5': 0.268728193199699}","{'NDCG@5': 0.1633276907830388, 'HR@5': 0.23385832140178633}","{'NDCG@5': 0.12650333497447558, 'HR@5': 0.1858817116380485}"
