test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.3552859586305965, 'HR@5': 0.4581069488132685}","{'NDCG@5': 0.3236894378928236, 'HR@5': 0.4223466407010711}","{'NDCG@5': 0.2940663164626078, 'HR@5': 0.3914799111649505}","{'NDCG@5': 0.2709012614825453, 'HR@5': 0.36956159359893315}","{'NDCG@5': 0.23701163008078308, 'HR@5': 0.3273840541948932}","{'NDCG@5': 0.20345908631626702, 'HR@5': 0.29030992546096507}","{'NDCG@5': 0.17066518076632267, 'HR@5': 0.2543393057110862}","{'NDCG@5': 0.15218671347555005, 'HR@5': 0.2300745707053431}","{'NDCG@5': 0.13202162158750536, 'HR@5': 0.20447262562214494}","{'NDCG@5': 0.09934067619251163, 'HR@5': 0.1595802671027528}"
"{'NDCG@5': 0.35931722227471996, 'HR@5': 0.45982270517586504}","{'NDCG@5': 0.32915679275716925, 'HR@5': 0.4286757546251217}","{'NDCG@5': 0.29793460482903583, 'HR@5': 0.39531597011911973}","{'NDCG@5': 0.2758120959753124, 'HR@5': 0.37356226037672946}","{'NDCG@5': 0.24048492294030277, 'HR@5': 0.3312923397602918}","{'NDCG@5': 0.20678955088838294, 'HR@5': 0.293252255786583}","{'NDCG@5': 0.17327620623912932, 'HR@5': 0.25622900335946247}","{'NDCG@5': 0.15518572676339748, 'HR@5': 0.23342683177122528}","{'NDCG@5': 0.1349655729565955, 'HR@5': 0.20835890093406967}","{'NDCG@5': 0.09987626789000685, 'HR@5': 0.16046606704824204}"
"{'NDCG@5': 0.3631210889902984, 'HR@5': 0.4621103803259937}","{'NDCG@5': 0.3316653601094491, 'HR@5': 0.43111002921129504}","{'NDCG@5': 0.30085352577129665, 'HR@5': 0.397536846355744}","{'NDCG@5': 0.2774392447933166, 'HR@5': 0.3743957326221037}","{'NDCG@5': 0.2425709385257011, 'HR@5': 0.3320739968733715}","{'NDCG@5': 0.20843760602631256, 'HR@5': 0.2951157316594743}","{'NDCG@5': 0.17435549964601177, 'HR@5': 0.2567889137737962}","{'NDCG@5': 0.15624446911176376, 'HR@5': 0.23431620715605117}","{'NDCG@5': 0.1359296904754617, 'HR@5': 0.20835890093406967}","{'NDCG@5': 0.10126349222784331, 'HR@5': 0.16257835922594713}"
"{'NDCG@5': 0.36584092056282175, 'HR@5': 0.4655418930511867}","{'NDCG@5': 0.33189955840013685, 'HR@5': 0.42964946445959107}","{'NDCG@5': 0.3008414157087746, 'HR@5': 0.39652735715727844}","{'NDCG@5': 0.27655611665049284, 'HR@5': 0.37272878813135524}","{'NDCG@5': 0.24374734110987276, 'HR@5': 0.3341584158415842}","{'NDCG@5': 0.20831574924185167, 'HR@5': 0.2949195763044331}","{'NDCG@5': 0.17468000129339395, 'HR@5': 0.258048712206047}","{'NDCG@5': 0.1561378161972485, 'HR@5': 0.23458986112061297}","{'NDCG@5': 0.1355895825002856, 'HR@5': 0.20794981932228812}","{'NDCG@5': 0.10094344743347194, 'HR@5': 0.16182883619514854}"
"{'NDCG@5': 0.36834065532579796, 'HR@5': 0.46697169002001715}","{'NDCG@5': 0.33596026636312126, 'HR@5': 0.43208373904576436}","{'NDCG@5': 0.30415132949621937, 'HR@5': 0.397536846355744}","{'NDCG@5': 0.2805439715816903, 'HR@5': 0.3783963993999}","{'NDCG@5': 0.2455006631233152, 'HR@5': 0.33441896821261075}","{'NDCG@5': 0.211776195970641, 'HR@5': 0.2982542173401334}","{'NDCG@5': 0.17729124910031055, 'HR@5': 0.2600783874580067}","{'NDCG@5': 0.15916216029462274, 'HR@5': 0.2373264007662311}","{'NDCG@5': 0.13852968583325076, 'HR@5': 0.21135883275380105}","{'NDCG@5': 0.10280161628881292, 'HR@5': 0.16291905151267375}"
"{'NDCG@5': 0.37415028188083244, 'HR@5': 0.4704032027452102}","{'NDCG@5': 0.33981180518196524, 'HR@5': 0.43281402142161635}","{'NDCG@5': 0.30868173370425595, 'HR@5': 0.39935392691298205}","{'NDCG@5': 0.2853037511001555, 'HR@5': 0.38139689948324723}","{'NDCG@5': 0.24902523857077222, 'HR@5': 0.33754559666492967}","{'NDCG@5': 0.21692352990199212, 'HR@5': 0.3041388779913692}","{'NDCG@5': 0.18077038068462048, 'HR@5': 0.26287793952967525}","{'NDCG@5': 0.16301593453189311, 'HR@5': 0.2396524594650065}","{'NDCG@5': 0.14170145698208253, 'HR@5': 0.2145633053794232}","{'NDCG@5': 0.10550991698518314, 'HR@5': 0.16509948214772419}"
"{'NDCG@5': 0.37445304694705667, 'HR@5': 0.47068916213897627}","{'NDCG@5': 0.34119695312864823, 'HR@5': 0.4330574488802337}","{'NDCG@5': 0.3101216661243427, 'HR@5': 0.40238239450837876}","{'NDCG@5': 0.2860258472000865, 'HR@5': 0.38156359393232203}","{'NDCG@5': 0.25156987410989357, 'HR@5': 0.3392391870766024}","{'NDCG@5': 0.21755989793661779, 'HR@5': 0.30472734405649277}","{'NDCG@5': 0.18152463256861304, 'HR@5': 0.26441769316909297}","{'NDCG@5': 0.16354711104774777, 'HR@5': 0.24054183484983238}","{'NDCG@5': 0.1421342854153407, 'HR@5': 0.21558600940887707}","{'NDCG@5': 0.10541608348751473, 'HR@5': 0.16475878986099754}"
"{'NDCG@5': 0.37497868305695387, 'HR@5': 0.4695453245639119}","{'NDCG@5': 0.34263067820323984, 'HR@5': 0.43476144109055503}","{'NDCG@5': 0.312119467746887, 'HR@5': 0.404603270745003}","{'NDCG@5': 0.2868099342300744, 'HR@5': 0.38156359393232203}","{'NDCG@5': 0.25237645623106747, 'HR@5': 0.33910891089108913}","{'NDCG@5': 0.21874561116822386, 'HR@5': 0.30511965476657515}","{'NDCG@5': 0.1830482554488829, 'HR@5': 0.2663073908174692}","{'NDCG@5': 0.16444432644763363, 'HR@5': 0.24081548881439419}","{'NDCG@5': 0.14208912873885535, 'HR@5': 0.21463148564805345}","{'NDCG@5': 0.10671279298952523, 'HR@5': 0.16666666666666666}"
"{'NDCG@5': 0.38104777495445946, 'HR@5': 0.473262796682871}","{'NDCG@5': 0.34983110730449474, 'HR@5': 0.4388997078870497}","{'NDCG@5': 0.3186429993616701, 'HR@5': 0.4078336361800929}","{'NDCG@5': 0.2930396282784589, 'HR@5': 0.3843973995665944}","{'NDCG@5': 0.2571232658234142, 'HR@5': 0.3427566440854612}","{'NDCG@5': 0.22232742624136326, 'HR@5': 0.30727736367202824}","{'NDCG@5': 0.18722698076512795, 'HR@5': 0.2689669652855543}","{'NDCG@5': 0.16943859607737002, 'HR@5': 0.245467606211945}","{'NDCG@5': 0.14620026223259963, 'HR@5': 0.21804049907956638}","{'NDCG@5': 0.1100112654429634, 'HR@5': 0.1691196511310984}"
"{'NDCG@5': 0.38433250613420883, 'HR@5': 0.4761223906205319}","{'NDCG@5': 0.352083116372852, 'HR@5': 0.4388997078870497}","{'NDCG@5': 0.3211832196419443, 'HR@5': 0.40985261457702404}","{'NDCG@5': 0.29578113427502084, 'HR@5': 0.38589764960826806}","{'NDCG@5': 0.25956103407277037, 'HR@5': 0.3447107868681605}","{'NDCG@5': 0.22470798084286395, 'HR@5': 0.30992546096508433}","{'NDCG@5': 0.18917167296670737, 'HR@5': 0.27022676371780513}","{'NDCG@5': 0.17126471671324653, 'HR@5': 0.2479304918930013}","{'NDCG@5': 0.14814780789911625, 'HR@5': 0.2198131860639531}","{'NDCG@5': 0.11161385215340697, 'HR@5': 0.17116380485145816}"
"{'NDCG@5': 0.387624935869447, 'HR@5': 0.4772662281955962}","{'NDCG@5': 0.35342240086087584, 'HR@5': 0.44109055501460565}","{'NDCG@5': 0.32318664371377787, 'HR@5': 0.41146779729456895}","{'NDCG@5': 0.2977755346882155, 'HR@5': 0.3872312052008668}","{'NDCG@5': 0.26094493898469645, 'HR@5': 0.3474465867639395}","{'NDCG@5': 0.2262976184337253, 'HR@5': 0.3112004707728521}","{'NDCG@5': 0.191073841508659, 'HR@5': 0.27281634938409854}","{'NDCG@5': 0.1722831820451736, 'HR@5': 0.24881986727782718}","{'NDCG@5': 0.1488619270976394, 'HR@5': 0.22069952955614644}","{'NDCG@5': 0.11224389108575059, 'HR@5': 0.17239029708367404}"
"{'NDCG@5': 0.3868768555171585, 'HR@5': 0.47669430940806407}","{'NDCG@5': 0.35274790804431805, 'HR@5': 0.440603700097371}","{'NDCG@5': 0.3225411239347884, 'HR@5': 0.41005451241671714}","{'NDCG@5': 0.2957035858575846, 'HR@5': 0.3860643440573429}","{'NDCG@5': 0.26056274139979246, 'HR@5': 0.34523189161021367}","{'NDCG@5': 0.22558990262010603, 'HR@5': 0.30992546096508433}","{'NDCG@5': 0.19036258777315299, 'HR@5': 0.2726763717805151}","{'NDCG@5': 0.17202380557456995, 'HR@5': 0.24861462680440582}","{'NDCG@5': 0.14830849780299055, 'HR@5': 0.2199495466012136}","{'NDCG@5': 0.11138400760800395, 'HR@5': 0.17061869719269557}"
