test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.44168123106054624, 'HR@5': 0.5112953960537604}","{'NDCG@5': 0.40702080255609413, 'HR@5': 0.4761441090555015}","{'NDCG@5': 0.37799117134814864, 'HR@5': 0.4490207954774884}","{'NDCG@5': 0.3533560825242077, 'HR@5': 0.4282380396732789}","{'NDCG@5': 0.31806362312530884, 'HR@5': 0.3940854611776967}","{'NDCG@5': 0.2841528621459949, 'HR@5': 0.36004315417810906}","{'NDCG@5': 0.24576902119234517, 'HR@5': 0.32334826427771557}","{'NDCG@5': 0.22124001937300702, 'HR@5': 0.2970513785318465}","{'NDCG@5': 0.1931988234265491, 'HR@5': 0.2645394422854026}","{'NDCG@5': 0.14647666417315253, 'HR@5': 0.20857181793404198}"
"{'NDCG@5': 0.4419558395539244, 'HR@5': 0.5115813554475265}","{'NDCG@5': 0.4074638045561412, 'HR@5': 0.4754138266796495}","{'NDCG@5': 0.3796265562123611, 'HR@5': 0.45144356955380577}","{'NDCG@5': 0.3540856089215015, 'HR@5': 0.4294049008168028}","{'NDCG@5': 0.31904736488163427, 'HR@5': 0.39460656591974985}","{'NDCG@5': 0.2850352299006042, 'HR@5': 0.3612200863083562}","{'NDCG@5': 0.2470240202937669, 'HR@5': 0.3246780515117581}","{'NDCG@5': 0.2225313651432049, 'HR@5': 0.29883012930149827}","{'NDCG@5': 0.19388018809872756, 'HR@5': 0.26528942524033544}","{'NDCG@5': 0.147505886290168, 'HR@5': 0.20904878713545924}"
"{'NDCG@5': 0.44350082894243026, 'HR@5': 0.5141549899914212}","{'NDCG@5': 0.40778509902195187, 'HR@5': 0.47663096397273613}","{'NDCG@5': 0.3800835856861302, 'HR@5': 0.451847365233192}","{'NDCG@5': 0.3551353241488985, 'HR@5': 0.4309051508584764}","{'NDCG@5': 0.31977408538055285, 'HR@5': 0.3956487754038562}","{'NDCG@5': 0.28588694841091816, 'HR@5': 0.36210278540604157}","{'NDCG@5': 0.2482380115740097, 'HR@5': 0.3261478163493841}","{'NDCG@5': 0.223543622104383, 'HR@5': 0.2995142642129028}","{'NDCG@5': 0.19507177502613324, 'HR@5': 0.26672121088157086}","{'NDCG@5': 0.14829054451037765, 'HR@5': 0.21013900245298447}"
"{'NDCG@5': 0.4438924899504392, 'HR@5': 0.513583071203889}","{'NDCG@5': 0.4090693037665732, 'HR@5': 0.47760467380720545}","{'NDCG@5': 0.38145263096087395, 'HR@5': 0.4538663436301232}","{'NDCG@5': 0.3562746469071586, 'HR@5': 0.43240540090015}","{'NDCG@5': 0.32041734949393286, 'HR@5': 0.39682126107347576}","{'NDCG@5': 0.2866198707149665, 'HR@5': 0.36318163985876817}","{'NDCG@5': 0.24970860916333762, 'HR@5': 0.3283174692049272}","{'NDCG@5': 0.22499144686137523, 'HR@5': 0.3008141205445714}","{'NDCG@5': 0.19573462783534093, 'HR@5': 0.2672666530306129}","{'NDCG@5': 0.149040034250442, 'HR@5': 0.211297356227855}"
"{'NDCG@5': 0.44546511923998755, 'HR@5': 0.5158707463540178}","{'NDCG@5': 0.4100792142617966, 'HR@5': 0.4788218111002921}","{'NDCG@5': 0.3828858993304589, 'HR@5': 0.45608721986674744}","{'NDCG@5': 0.3576079958231455, 'HR@5': 0.43440573428904816}","{'NDCG@5': 0.3215505534014152, 'HR@5': 0.3976029181865555}","{'NDCG@5': 0.2878292717441542, 'HR@5': 0.36475088269909767}","{'NDCG@5': 0.25076232657328557, 'HR@5': 0.3292973124300112}","{'NDCG@5': 0.2263943187860682, 'HR@5': 0.30266128480536364}","{'NDCG@5': 0.19726034142609492, 'HR@5': 0.26890297947773917}","{'NDCG@5': 0.14993856254670643, 'HR@5': 0.2123194330880349}"
"{'NDCG@5': 0.4466060787037033, 'HR@5': 0.5152988275664856}","{'NDCG@5': 0.40983535350189787, 'HR@5': 0.47760467380720545}","{'NDCG@5': 0.3835087052465683, 'HR@5': 0.4566929133858268}","{'NDCG@5': 0.35808072578219297, 'HR@5': 0.434572428738123}","{'NDCG@5': 0.3225423890153242, 'HR@5': 0.399166232412715}","{'NDCG@5': 0.2892895143377239, 'HR@5': 0.36582973715182426}","{'NDCG@5': 0.2522453664015094, 'HR@5': 0.33083706606942886}","{'NDCG@5': 0.2281588044414694, 'HR@5': 0.3050557569952795}","{'NDCG@5': 0.19820442491100254, 'HR@5': 0.269652962432672}","{'NDCG@5': 0.15078094307436246, 'HR@5': 0.2128645407467975}"
"{'NDCG@5': 0.4479049183945522, 'HR@5': 0.5178724621103803}","{'NDCG@5': 0.4107113054520229, 'HR@5': 0.4790652385589094}","{'NDCG@5': 0.3847064555463615, 'HR@5': 0.45770240258429234}","{'NDCG@5': 0.3589858991542764, 'HR@5': 0.4365727621270212}","{'NDCG@5': 0.3235116427132863, 'HR@5': 0.40020844189682125}","{'NDCG@5': 0.29023583756636645, 'HR@5': 0.36720282463711257}","{'NDCG@5': 0.2530208612367628, 'HR@5': 0.3313269876819709}","{'NDCG@5': 0.22881863666882168, 'HR@5': 0.30512417048641993}","{'NDCG@5': 0.19933127175578005, 'HR@5': 0.27101656780527716}","{'NDCG@5': 0.15173586117618224, 'HR@5': 0.21381847914963206}"
"{'NDCG@5': 0.4492796578668953, 'HR@5': 0.5190162996854447}","{'NDCG@5': 0.41209615158444235, 'HR@5': 0.48125608568646544}","{'NDCG@5': 0.38491230857225306, 'HR@5': 0.45790430042398544}","{'NDCG@5': 0.3601075220724528, 'HR@5': 0.4382397066177696}","{'NDCG@5': 0.3246398400878634, 'HR@5': 0.4021625846795206}","{'NDCG@5': 0.2912039350107464, 'HR@5': 0.36828167908983916}","{'NDCG@5': 0.25363003453942023, 'HR@5': 0.33181690929451285}","{'NDCG@5': 0.2300632867861186, 'HR@5': 0.3066292672915099}","{'NDCG@5': 0.19972013989437706, 'HR@5': 0.2711529283425377}","{'NDCG@5': 0.15272817721143309, 'HR@5': 0.21504497138184792}"
"{'NDCG@5': 0.4500321517909778, 'HR@5': 0.5195882184729769}","{'NDCG@5': 0.41280728472245504, 'HR@5': 0.4824732229795521}","{'NDCG@5': 0.38528978455549706, 'HR@5': 0.45790430042398544}","{'NDCG@5': 0.3610061949578309, 'HR@5': 0.43907317886314384}","{'NDCG@5': 0.3259146679306759, 'HR@5': 0.40372589890568006}","{'NDCG@5': 0.2915744563197549, 'HR@5': 0.36857591212240093}","{'NDCG@5': 0.25471806735413177, 'HR@5': 0.333496640537514}","{'NDCG@5': 0.23089940001417059, 'HR@5': 0.3076554696586167}","{'NDCG@5': 0.2000286158859456, 'HR@5': 0.27101656780527716}","{'NDCG@5': 0.153390715000091, 'HR@5': 0.21545380212591986}"
"{'NDCG@5': 0.45025745939669004, 'HR@5': 0.5207320560480412}","{'NDCG@5': 0.41352418536041674, 'HR@5': 0.48369036027263873}","{'NDCG@5': 0.3865993691589159, 'HR@5': 0.4597213809812235}","{'NDCG@5': 0.36174901480266514, 'HR@5': 0.44040673445574263}","{'NDCG@5': 0.32696836974478716, 'HR@5': 0.40450755601875976}","{'NDCG@5': 0.2924780338040978, 'HR@5': 0.37024323264025105}","{'NDCG@5': 0.2553300439860359, 'HR@5': 0.3337765957446808}","{'NDCG@5': 0.23144523704677808, 'HR@5': 0.30827119107888074}","{'NDCG@5': 0.20056255169751827, 'HR@5': 0.27149382968568897}","{'NDCG@5': 0.15416582547973262, 'HR@5': 0.2165440174434451}"
