test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.3671651937549403, 'HR@5': 0.4672576494137832}","{'NDCG@5': 0.33623635008941355, 'HR@5': 0.43135345666991237}","{'NDCG@5': 0.30800530253763947, 'HR@5': 0.40520896426408237}","{'NDCG@5': 0.28176440502424877, 'HR@5': 0.37722953825637606}","{'NDCG@5': 0.24961033818594253, 'HR@5': 0.3418447107868682}","{'NDCG@5': 0.2162570770984695, 'HR@5': 0.30364848960376617}","{'NDCG@5': 0.1824573807643728, 'HR@5': 0.26637737961926095}","{'NDCG@5': 0.16151556575662218, 'HR@5': 0.24191010467264146}","{'NDCG@5': 0.13884831833620337, 'HR@5': 0.21354060134996933}","{'NDCG@5': 0.10413049324184137, 'HR@5': 0.16632597437994004}"
"{'NDCG@5': 0.37230007840567253, 'HR@5': 0.46983128395767804}","{'NDCG@5': 0.3408762431867839, 'HR@5': 0.43500486854917236}","{'NDCG@5': 0.3118223999836304, 'HR@5': 0.4096507167373309}","{'NDCG@5': 0.28521014326759747, 'HR@5': 0.37906317719619936}","{'NDCG@5': 0.25239445828401097, 'HR@5': 0.34288692027097445}","{'NDCG@5': 0.2184438507676944, 'HR@5': 0.30511965476657515}","{'NDCG@5': 0.18491262663114072, 'HR@5': 0.26840705487122063}","{'NDCG@5': 0.1649205275983452, 'HR@5': 0.24608332763220908}","{'NDCG@5': 0.141556943471418, 'HR@5': 0.21565418967750732}","{'NDCG@5': 0.10617171019827147, 'HR@5': 0.169664758789861}"
"{'NDCG@5': 0.37105460590415557, 'HR@5': 0.47068916213897627}","{'NDCG@5': 0.338581707528844, 'HR@5': 0.432570593962999}","{'NDCG@5': 0.31231970291642386, 'HR@5': 0.4106602059357965}","{'NDCG@5': 0.284796694262359, 'HR@5': 0.3783963993999}","{'NDCG@5': 0.2523121790782408, 'HR@5': 0.34288692027097445}","{'NDCG@5': 0.21852584458192426, 'HR@5': 0.3054138877991369}","{'NDCG@5': 0.18477166627256764, 'HR@5': 0.26966685330347145}","{'NDCG@5': 0.16433347047004088, 'HR@5': 0.2456044331942259}","{'NDCG@5': 0.14164252502862895, 'HR@5': 0.2161996318265494}","{'NDCG@5': 0.10525205058252739, 'HR@5': 0.16734805124011992}"
"{'NDCG@5': 0.37496076393054856, 'HR@5': 0.4735487560766371}","{'NDCG@5': 0.34396814155529665, 'HR@5': 0.43938656280428434}","{'NDCG@5': 0.3147880564217742, 'HR@5': 0.41126589945487585}","{'NDCG@5': 0.2862097119493612, 'HR@5': 0.38006334389064844}","{'NDCG@5': 0.25526367467384975, 'HR@5': 0.34510161542470036}","{'NDCG@5': 0.2216823020748147, 'HR@5': 0.30894468418987836}","{'NDCG@5': 0.1876815882204359, 'HR@5': 0.27274636058230683}","{'NDCG@5': 0.16685127841638872, 'HR@5': 0.24731477047273723}","{'NDCG@5': 0.1433295233515865, 'HR@5': 0.21810867934819664}","{'NDCG@5': 0.10708839131159822, 'HR@5': 0.16973289724720633}"
"{'NDCG@5': 0.37961473747000063, 'HR@5': 0.476408350014298}","{'NDCG@5': 0.3472379197456368, 'HR@5': 0.43962999026290167}","{'NDCG@5': 0.318755454052695, 'HR@5': 0.4134867756915001}","{'NDCG@5': 0.2911344087533949, 'HR@5': 0.38506417736289383}","{'NDCG@5': 0.2580016843489772, 'HR@5': 0.3478374153204794}","{'NDCG@5': 0.2244885806299532, 'HR@5': 0.3113966261278933}","{'NDCG@5': 0.19104409095748787, 'HR@5': 0.27596584546472563}","{'NDCG@5': 0.17004791320550433, 'HR@5': 0.25087227201204076}","{'NDCG@5': 0.1458888106634316, 'HR@5': 0.22069952955614644}","{'NDCG@5': 0.10928140814206695, 'HR@5': 0.17170891251022077}"
"{'NDCG@5': 0.3795829064958237, 'HR@5': 0.4752645124392336}","{'NDCG@5': 0.3478677434510814, 'HR@5': 0.439873417721519}","{'NDCG@5': 0.3197026167596119, 'HR@5': 0.4146981627296588}","{'NDCG@5': 0.2932043870334162, 'HR@5': 0.3878979829971662}","{'NDCG@5': 0.2590151158978313, 'HR@5': 0.34979155810317875}","{'NDCG@5': 0.22671230327446532, 'HR@5': 0.3135543350333464}","{'NDCG@5': 0.19204114699554523, 'HR@5': 0.27715565509518475}","{'NDCG@5': 0.17101021361379076, 'HR@5': 0.25278784976397345}","{'NDCG@5': 0.14637862785377687, 'HR@5': 0.22049498875025567}","{'NDCG@5': 0.11011082253311821, 'HR@5': 0.17279912782774598}"
"{'NDCG@5': 0.38277688183189523, 'HR@5': 0.4778381469831284}","{'NDCG@5': 0.35124302706179006, 'HR@5': 0.44328140214216166}","{'NDCG@5': 0.3209749908723212, 'HR@5': 0.41570765192812437}","{'NDCG@5': 0.2951160167803172, 'HR@5': 0.38923153858976495}","{'NDCG@5': 0.26088916525440264, 'HR@5': 0.350833767587285}","{'NDCG@5': 0.22819962585175205, 'HR@5': 0.31512357787367595}","{'NDCG@5': 0.19440511641741617, 'HR@5': 0.27848544232922734}","{'NDCG@5': 0.17340976412495213, 'HR@5': 0.2551823219538893}","{'NDCG@5': 0.14820686970424787, 'HR@5': 0.22233585600327266}","{'NDCG@5': 0.1106202342363087, 'HR@5': 0.17259471245571}"
"{'NDCG@5': 0.3817993974660655, 'HR@5': 0.47812410637689445}","{'NDCG@5': 0.3527222005766047, 'HR@5': 0.4462025316455696}","{'NDCG@5': 0.32114103373435815, 'HR@5': 0.4153038562487381}","{'NDCG@5': 0.29637175751568307, 'HR@5': 0.39106517752958825}","{'NDCG@5': 0.26101210865421526, 'HR@5': 0.3501823866597186}","{'NDCG@5': 0.22896478424289318, 'HR@5': 0.31590819929384073}","{'NDCG@5': 0.1944947815793825, 'HR@5': 0.27918533034714443}","{'NDCG@5': 0.17345675656852644, 'HR@5': 0.25395087911336117}","{'NDCG@5': 0.1482687624178727, 'HR@5': 0.22267675734642395}","{'NDCG@5': 0.11132474961534876, 'HR@5': 0.17354865085854457}"
"{'NDCG@5': 0.3861137418134202, 'HR@5': 0.48212753788961965}","{'NDCG@5': 0.3564669161203317, 'HR@5': 0.4488802336903603}","{'NDCG@5': 0.3261144600688047, 'HR@5': 0.4211588935998385}","{'NDCG@5': 0.2981857615965557, 'HR@5': 0.38989831638606437}","{'NDCG@5': 0.26391363051361755, 'HR@5': 0.3523970818134445}","{'NDCG@5': 0.23142332997756884, 'HR@5': 0.318752451941938}","{'NDCG@5': 0.19675751748159742, 'HR@5': 0.2821248600223964}","{'NDCG@5': 0.17629882091261287, 'HR@5': 0.2568926592324006}","{'NDCG@5': 0.14999017104459703, 'HR@5': 0.2247221654053317}","{'NDCG@5': 0.11267055890077018, 'HR@5': 0.17423003543199783}"
"{'NDCG@5': 0.38699041800414524, 'HR@5': 0.4795539033457249}","{'NDCG@5': 0.35760667093787923, 'HR@5': 0.4491236611489776}","{'NDCG@5': 0.32727255565857283, 'HR@5': 0.42075509792045224}","{'NDCG@5': 0.30066100172155574, 'HR@5': 0.39189864977496247}","{'NDCG@5': 0.2654449858908721, 'HR@5': 0.35317873892652424}","{'NDCG@5': 0.23295912447781422, 'HR@5': 0.32002746174970575}","{'NDCG@5': 0.19870534894861638, 'HR@5': 0.2831746920492721}","{'NDCG@5': 0.17715110617430305, 'HR@5': 0.2573715536703838}","{'NDCG@5': 0.15185054608349466, 'HR@5': 0.22649485238971842}","{'NDCG@5': 0.11366562411620865, 'HR@5': 0.17525211229217771}"
