test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
"{'NDCG@5': 0.03178704365483083, 'HR@5': 0.052330569059193595}","{'NDCG@5': 0.027271344549167704, 'HR@5': 0.04527750730282376}","{'NDCG@5': 0.03230553929292972, 'HR@5': 0.05471431455683424}","{'NDCG@5': 0.032330023371418, 'HR@5': 0.053342223703950656}","{'NDCG@5': 0.030652799832011877, 'HR@5': 0.04898384575299635}","{'NDCG@5': 0.03239864617353057, 'HR@5': 0.054825421734013335}","{'NDCG@5': 0.03264818737227152, 'HR@5': 0.055641097424412096}","{'NDCG@5': 0.034843371977861526, 'HR@5': 0.057262092084559076}","{'NDCG@5': 0.03302155496476886, 'HR@5': 0.056316901888593444}","{'NDCG@5': 0.03280830601607938, 'HR@5': 0.05553284273644045}"
"{'NDCG@5': 0.03237729552553542, 'HR@5': 0.054332284815556194}","{'NDCG@5': 0.028372711806518618, 'HR@5': 0.04673807205452775}","{'NDCG@5': 0.03263757184145336, 'HR@5': 0.054512416717141125}","{'NDCG@5': 0.032733736728627776, 'HR@5': 0.054175695949324885}","{'NDCG@5': 0.030868754576998336, 'HR@5': 0.049374674309536216}","{'NDCG@5': 0.0327738021479934, 'HR@5': 0.054825421734013335}","{'NDCG@5': 0.032166394323764294, 'HR@5': 0.05466125419932811}","{'NDCG@5': 0.03494817982442625, 'HR@5': 0.05808305397824451}","{'NDCG@5': 0.03323950266489603, 'HR@5': 0.05618054135133292}","{'NDCG@5': 0.03324776782049691, 'HR@5': 0.05648678113927501}"
"{'NDCG@5': 0.032049938843541376, 'HR@5': 0.054332284815556194}","{'NDCG@5': 0.02830734655842515, 'HR@5': 0.04746835443037975}","{'NDCG@5': 0.03268507372277074, 'HR@5': 0.05471431455683424}","{'NDCG@5': 0.03251863334850027, 'HR@5': 0.053175529254875814}","{'NDCG@5': 0.031812084803323655, 'HR@5': 0.05145909327774883}","{'NDCG@5': 0.03319133722850314, 'HR@5': 0.056002353864260494}","{'NDCG@5': 0.03219155853952923, 'HR@5': 0.05466125419932811}","{'NDCG@5': 0.034947012913843736, 'HR@5': 0.05753574604912089}","{'NDCG@5': 0.033500321520171676, 'HR@5': 0.056316901888593444}","{'NDCG@5': 0.03300327602941955, 'HR@5': 0.0559416734805124}"
"{'NDCG@5': 0.030984886824926706, 'HR@5': 0.05261652845295968}","{'NDCG@5': 0.028009574636297437, 'HR@5': 0.046007789678675755}","{'NDCG@5': 0.032446116801191444, 'HR@5': 0.05491621239652736}","{'NDCG@5': 0.032801303385039546, 'HR@5': 0.05484247374562427}","{'NDCG@5': 0.03174603582252656, 'HR@5': 0.05080771235018239}","{'NDCG@5': 0.03283930720466943, 'HR@5': 0.055217732444095724}","{'NDCG@5': 0.03257294407435241, 'HR@5': 0.054871220604703244}","{'NDCG@5': 0.034952594108178324, 'HR@5': 0.05753574604912089}","{'NDCG@5': 0.03270807814564737, 'HR@5': 0.054885116247358014}","{'NDCG@5': 0.03291558178855789, 'HR@5': 0.05546470427909512}"
"{'NDCG@5': 0.03151144628591182, 'HR@5': 0.05376036602802402}","{'NDCG@5': 0.028874820499289203, 'HR@5': 0.04746835443037975}","{'NDCG@5': 0.03219443470417024, 'HR@5': 0.054512416717141125}","{'NDCG@5': 0.03282971504494383, 'HR@5': 0.054175695949324885}","{'NDCG@5': 0.03148964928896412, 'HR@5': 0.05158936946326212}","{'NDCG@5': 0.032720888084223854, 'HR@5': 0.05511965476657513}","{'NDCG@5': 0.03249274745377406, 'HR@5': 0.055081187010078386}","{'NDCG@5': 0.03455050561359124, 'HR@5': 0.056783197646575904}","{'NDCG@5': 0.033497358141074525, 'HR@5': 0.05624872161996318}","{'NDCG@5': 0.03311232620841434, 'HR@5': 0.05580539656582175}"
"{'NDCG@5': 0.031243767650582635, 'HR@5': 0.05404632542179011}","{'NDCG@5': 0.028584656291336132, 'HR@5': 0.047224926971762414}","{'NDCG@5': 0.031708219714034994, 'HR@5': 0.0541086210377549}","{'NDCG@5': 0.032650866750223724, 'HR@5': 0.054175695949324885}","{'NDCG@5': 0.0317487526007076, 'HR@5': 0.05224075039082856}","{'NDCG@5': 0.032713805511033166, 'HR@5': 0.05492349941153393}","{'NDCG@5': 0.03265461257372418, 'HR@5': 0.055641097424412096}","{'NDCG@5': 0.034573938216525095, 'HR@5': 0.056851611137716355}","{'NDCG@5': 0.03367125077982737, 'HR@5': 0.05679416376900525}","{'NDCG@5': 0.03262119148543548, 'HR@5': 0.05485145816298719}"
"{'NDCG@5': 0.03159357449384033, 'HR@5': 0.05404632542179011}","{'NDCG@5': 0.028722943600019136, 'HR@5': 0.046981499513145085}","{'NDCG@5': 0.03335640213797062, 'HR@5': 0.0567332929537654}","{'NDCG@5': 0.03245483529793715, 'HR@5': 0.053842307051175195}","{'NDCG@5': 0.031657200099330686, 'HR@5': 0.05093798853569567}","{'NDCG@5': 0.032034524309332416, 'HR@5': 0.05335425657120439}","{'NDCG@5': 0.03233285839663517, 'HR@5': 0.054801231802911535}","{'NDCG@5': 0.03473046850850535, 'HR@5': 0.057262092084559076}","{'NDCG@5': 0.03273388202325101, 'HR@5': 0.05502147678461853}","{'NDCG@5': 0.032353498701134284, 'HR@5': 0.054170073589533935}"
"{'NDCG@5': 0.03229645802989883, 'HR@5': 0.05490420360308836}","{'NDCG@5': 0.028324051953511536, 'HR@5': 0.04649464459591042}","{'NDCG@5': 0.033847150484038344, 'HR@5': 0.05774278215223097}","{'NDCG@5': 0.03238205879986752, 'HR@5': 0.053175529254875814}","{'NDCG@5': 0.03164723758322467, 'HR@5': 0.051198540906722254}","{'NDCG@5': 0.03288576141467061, 'HR@5': 0.05492349941153393}","{'NDCG@5': 0.032996017978964357, 'HR@5': 0.05585106382978723}","{'NDCG@5': 0.034374220853601464, 'HR@5': 0.05609906273517137}","{'NDCG@5': 0.033036395888101366, 'HR@5': 0.05590782027681189}","{'NDCG@5': 0.032639607560410705, 'HR@5': 0.05498773507767784}"
"{'NDCG@5': 0.031866493066187274, 'HR@5': 0.05318844724049185}","{'NDCG@5': 0.028293361685049076, 'HR@5': 0.04552093476144109}","{'NDCG@5': 0.03373103842260047, 'HR@5': 0.05693519079345851}","{'NDCG@5': 0.03274250861206414, 'HR@5': 0.054509084847474576}","{'NDCG@5': 0.03246712439361278, 'HR@5': 0.052501302761855134}","{'NDCG@5': 0.032761489986455866, 'HR@5': 0.05531581012161632}","{'NDCG@5': 0.032609130521564424, 'HR@5': 0.05557110862262038}","{'NDCG@5': 0.0347636546009926, 'HR@5': 0.056851611137716355}","{'NDCG@5': 0.03328405761113458, 'HR@5': 0.05624872161996318}","{'NDCG@5': 0.03249985745257873, 'HR@5': 0.054919596620332516}"
"{'NDCG@5': 0.03166655858727795, 'HR@5': 0.054332284815556194}","{'NDCG@5': 0.028640050732188428, 'HR@5': 0.045764362220058426}","{'NDCG@5': 0.033629839315421614, 'HR@5': 0.05693519079345851}","{'NDCG@5': 0.03278044166140923, 'HR@5': 0.054675779296549425}","{'NDCG@5': 0.03225951835463968, 'HR@5': 0.052501302761855134}","{'NDCG@5': 0.03266587999543203, 'HR@5': 0.05413887799136916}","{'NDCG@5': 0.03308325008439902, 'HR@5': 0.05613101903695409}","{'NDCG@5': 0.035395696192039396, 'HR@5': 0.05794622699596361}","{'NDCG@5': 0.03320176471493295, 'HR@5': 0.05563509920229086}","{'NDCG@5': 0.032888388804533694, 'HR@5': 0.055873535023167074}"
